time,open,high,low,close
2018-10-01,410.7,412.9,407.2,409
2018-10-02,409.4,415.7,407.1,414.5
2018-10-03,415,423.6,414.9,418
2018-10-04,416.7,419.7,413.6,417
2018-10-05,417,419.4,411.1,415
2018-10-08,419.2,420.5,415.2,415.2
2018-10-09,414.2,418,413.1,414
2018-10-10,415,418,409,411
2018-10-11,408.5,424.9,406,422.2
2018-10-12,422.5,428.8,415.3,424
2018-10-15,420.6,425,420.4,420.4
2018-10-16,423.5,435,423.4,431.6
2018-10-17,421.9,435,421.8,435
2018-10-18,435,435,426.8,431.4
2018-10-19,432.7,436.1,427,430
2018-10-22,430,431.5,420.5,421.3
2018-10-23,421.4,432.9,412.5,423.9
2018-10-24,425.2,427.6,416.5,416.5
2018-10-25,413,426.2,413,418
2018-10-26,412.7,418.7,408.7,413.7
2018-10-29,413.7,422,411.2,420
2018-10-30,417,419.4,409.9,409.9
2018-10-31,410.5,415.2,407.6,415.2
2018-11-01,413.7,415.5,411.1,414.85
2018-11-02,415,420.05,415,418.5
2018-11-06,418.4,423.35,417.5,421.4
2018-11-07,422.5,425.85,415.2,424.7
2018-11-08,425,426,419.55,426
2018-11-09,422.55,435.6,421.9,435.6
2018-11-12,431.2,437,431.2,433
2018-11-13,431.15,437,428.3,432.35
2018-11-14,434,440.95,430.45,440
2018-11-15,440,443,432.95,432.95
2018-11-16,436,437.75,429.5,429.5
2018-11-19,432.25,448.5,430.7,448
2018-11-20,448,448,437.7,445
2018-11-21,440.1,458.9,438.6,455
2018-11-22,455.05,477.7,451.9,468.9
2018-11-23,466,474.9,455.5,473.2
2018-11-26,468.6,477.7,445.15,475.2
2018-11-27,470.9,477.15,467.5,470
2018-11-28,464.7,474.4,463,468.85
2018-11-29,468.8,473.85,466.55,470.4
2018-11-30,466,482.75,466,482.75
2018-12-03,482.75,487.5,466,469.55
2018-12-04,472.65,475,468.05,471.5
2018-12-05,470.2,478.85,469,478
2018-12-06,476,481,471.5,477.5
2018-12-07,476.5,486.8,475.35,484.75
2018-12-10,484.95,502.5,483.45,502.45
2018-12-11,502.45,504.75,482.55,487.35
2018-12-12,484.4,493.45,477,487.8
2018-12-13,490.05,504.45,487.5,499.9
2018-12-14,499.9,507,492.25,499.15
2018-12-17,499.5,504.55,494.5,502.45
2018-12-18,500.55,508.8,487.5,505.3
2018-12-19,504.8,521.35,504.8,517.55
2018-12-20,521.5,527.5,498.05,516.7
2018-12-21,516.1,530,514.2,530
2018-12-24,529.45,539.9,525.6,530
2018-12-25,536,537.45,520.9,521.9
2018-12-26,527.6,527.6,512.25,520
2018-12-27,522.85,538,514.4,529.85
2018-12-28,530.7,541.05,530.7,539.2
2019-01-03,540,546.8,528.1,529.95
2019-01-04,532.55,534.9,525,528.65
2019-01-08,526,526,506,513.45
2019-01-09,512.15,527.5,512.15,527.5
2019-01-10,527,541.4,524.35,541.4
2019-01-11,539.05,541.6,532.5,541.6
2019-01-14,536.4,541.25,534,537.25
2019-01-15,537.55,540.9,536.5,536.5
2019-01-16,535.05,539.55,529,533.95
2019-01-17,537.3,544.2,531.45,540
2019-01-18,538,540.7,534,537
2019-01-21,535,539.1,532.4,533
2019-01-22,534.4,539.8,531.7,539.8
2019-01-23,540.15,543.75,536.5,540
2019-01-24,540.4,541.2,532.7,535.9
2019-01-25,536.9,539.5,533,539
2019-01-28,540.65,540.9,532.1,537.15
2019-01-29,534.3,560,534.3,555
2019-01-30,555,557.45,546.05,554.8
2019-01-31,556.95,567.8,548.2,549.4
2019-02-01,552.95,552.95,546.55,552.15
2019-02-04,550.8,553.2,547,549.05
2019-02-05,549.55,552.65,547.7,552.65
2019-02-06,552.5,555.5,546.85,553
2019-02-07,550.85,552.75,546.45,547.55
2019-02-08,548.8,552.25,538.05,544
2019-02-11,540,546.8,529.75,530
2019-02-12,530.6,537,527.85,530
2019-02-13,530.55,532.5,521.35,521.35
2019-02-14,520.25,535.9,514.8,532
2019-02-15,534,540.35,532.75,534.45
2019-02-18,535.95,544.95,530,543.05
2019-02-19,543.05,548.8,540,544.5
2019-02-20,546,547.8,540.55,544.5
2019-02-21,545.95,545.95,532.7,537
2019-02-22,536.95,539.8,529.75,536
2019-02-25,534.05,537.65,531.9,537.3
2019-02-26,536,548.9,533.4,544.5
2019-02-27,545,549.4,541.05,545
2019-02-28,540.9,547,534.2,547
2019-03-01,546,546,535,535.05
2019-03-04,535.05,537.2,509.2,509.2
2019-03-05,509.2,518.4,502,513.95
2019-03-06,512.4,529.65,512.4,520.55
2019-03-07,520.55,525.6,512.8,520
2019-03-11,522.05,528.25,517.65,523.5
2019-03-12,523.75,532.5,522.05,532.5
2019-03-13,532,544.5,529.2,544.45
2019-03-14,543,548.2,542,546.8
2019-03-15,548,549,534.35,534.35
2019-03-18,539.95,558.9,539,546.05
2019-03-19,549.2,549.6,543.3,549.3
2019-03-20,549.4,549.95,531.05,534.2
2019-03-21,536.4,548.5,536,539.4
2019-03-22,539.4,542,537.2,539.35
2019-03-25,539.6,539.6,525.75,526
2019-03-26,529.8,543.4,524.95,543.4
2019-03-27,541.35,543.35,537.95,541
2019-03-28,540.85,543.95,537.5,541.65
2019-03-29,541.2,543.95,535.7,543.7
2019-04-01,541.7,546,540,542.15
2019-04-02,541.1,548.5,540.5,548
2019-04-03,544.5,546.95,520.6,532
2019-04-04,523,525.7,508.15,510
2019-04-05,513.95,515.35,509.35,509.6
2019-04-08,513,515.35,511.1,514.1
2019-04-09,516.3,517.5,506.2,509.2
2019-04-10,509.15,509.15,497.2,499
2019-04-11,500,501.35,490.25,493
2019-04-12,493,498.6,491.5,495
2019-04-15,494.15,494.75,483.5,483.5
2019-04-16,484,495.4,484,492.2
2019-04-17,495.2,498.2,492.7,495
2019-04-18,493.3,498.2,493.05,498.2
2019-04-19,498.15,501.9,496.75,500
2019-04-22,501.5,505.5,498.25,504.9
2019-04-23,505,506.05,490.1,490.5
2019-04-24,491.45,497,490,496.5
2019-04-25,494.2,498.3,494,495.7
2019-04-26,497.85,507.35,494.45,506
